행정구역(시군구)별,2019,2020,2021
행정구역(시군구)별,총인구수 (명),총인구수 (명),총인구수 (명)
경기도,13239666,13427014,13565450
수원시,1194465,1186078,1183714
장안구,278377,273661,273835
권선구,371754,368645,364136
팔달구,175866,174930,182321
영통구,368468,368842,363422
성남시,942724,940064,930948
수정구,234678,241701,235988
중원구,220041,216131,210777
분당구,488005,482232,484183
의정부시,451868,461710,463661
안양시,567044,550027,547178
만안구,244235,239413,238311
동안구,322809,310614,308867
부천시,829996,818383,806067
광명시,316552,298599,292893
평택시,513027,537307,564288
동두천시,94768,94353,93592
안산시,650918,654915,652726
상록구,344613,351888,350668
단원구,306305,303027,302058
고양시,1066351,1079216,1079353
덕양구,466157,476962,482927
일산동구,297671,299716,298873
일산서구,302523,302538,297553
과천시,58289,63231,73345
구리시,199265,197454,191948
남양주시,701830,713321,733798
오산시,226379,229725,229983
시흥시,473682,500895,512030
군포시,275852,273791,268535
의왕시,161153,163795,163356
하남시,272455,293452,320087
용인시,1059609,1074176,1077508
처인구,253896,257498,260198
기흥구,436679,440835,441742
수지구,369034,375843,375568
파주시,454040,465617,483245
이천시,215834,218388,223177
안성시,183405,187012,189534
김포시,437221,473970,486508
화성시,815396,855248,887015
광주시,372654,382054,387289
양주시,222314,230359,236368
포천시,148379,147274,148939
여주시,111083,111897,112150
연천군,43824,43516,42721
가평군,62415,62377,62264
양평군,116874,118810,121230
