시군구,총가구수,총인구수,아파트 단위면적당 기준시가_원단위,업소수,업소당가구수,상권일일유동인구,인구당 상권유동인구,인구당 업소수
수원시,467635,1189795,6257551,16677,28,178222,0.149792191,0.0140167
성남시,392992,973188,9470001,15797,25,163221,0.167717851,0.016232218
의정부시,173546,434769,5396266,7395,23,53746,0.123619669,0.017009032
안양시,223425,595542,7566859,8729,26,85766,0.144013353,0.014657237
부천시,328513,848593,6014841,8831,37,85259,0.100471015,0.010406638
광명시,128034,343480,7252676,3022,42,49202,0.143245604,0.008798183
평택시,192130,465544,4637380,9417,20,135468,0.290988607,0.020227948
동두천시,42268,98101,3090704,1996,21,8934,0.091069408,0.020346378
안산시,282071,695793,5643152,9945,28,91538,0.131559242,0.014293044
고양시,395446,1029854,6906939,16415,24,157413,0.152849821,0.015939153
과천시,24663,67677,16751930,704,35,18561,0.274258611,0.010402352
구리시,71653,186325,7564479,3133,23,36684,0.196881793,0.016814705
남양주시,249597,660625,5525693,8763,28,22360,0.033846736,0.013264711
오산시,81953,208331,5501888,3389,24,33629,0.161421008,0.016267382
시흥시,154743,388025,5475461,5821,27,97502,0.251277624,0.015001611
군포시,105761,284203,7474180,3392,31,43129,0.151754204,0.011935131
의왕시,58995,158281,7752878,1940,30,33814,0.213632716,0.012256683
하남시,71899,179106,10230287,2946,24,47725,0.266462318,0.01644836
용인시,356563,980268,6792720,12535,28,195732,0.199671926,0.012787319
파주시,173256,426638,5794159,7809,22,86955,0.203814475,0.018303574
이천시,82759,208480,3830721,5386,15,68298,0.32759977,0.025834612
안성시,75095,181204,4049911,4189,18,51670,0.285148231,0.023117591
김포시,135506,354575,5655028,5948,23,83668,0.235967003,0.016775012
화성시,235683,619539,5640059,10618,22,200916,0.324299197,0.01713855
광주시,126112,316529,5451410,5133,25,70373,0.22232718,0.016216524
양주시,80188,205377,3990192,3888,21,44547,0.216903548,0.018931039
포천시,67935,154672,3256692,4560,15,39498,0.255366194,0.029481742
연천군,21500,45828,2523048,1161,19,9373,0.204525618,0.025333857
가평군,28833,62455,3444891,1957,15,18950,0.303418461,0.031334561
양평군,49191,109460,4361203,2694,18,31103,0.284149461,0.02461173
여주시,47345,110833,3516130,2746,17,26786,0.241678922,0.024776014
