업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
브라운,민박,내국인+외국인,없음,경기도 가평군 가평읍 상지로 832-84,경기도 가평군 가평읍 복장리 626-3번지 A동,,1,,,,,,37.74760618,127.4948807,2021-06-09
햇살이 가득한 집 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 경반안로 241,경기도 가평군 가평읍 경반리 508-6번지,,3,,,,,,37.82819201,127.480989,2021-06-09
축령산 아침,민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 137,경기도 가평군 상면 임초리 177-3번지,,4,,,,,,37.75700963,127.3718983,2021-06-09
초록정원 계곡독채펜션,민박,내국인+외국인,없음,경기도 가평군 상면 대보간선로 754,경기도 가평군 상면 항사리 24-1번지,,5,,,,,,37.79458917,127.3933573,2021-06-09
AD646펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-74,경기도 가평군 가평읍 승안리 645번지,,1,,,,,,37.86197096,127.4699756,2021-06-09
융프라우,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 201-29,경기도 가평군 설악면 가일리 41-1번지,,5,,,,,,37.59250277,127.5139215,2021-06-09
실버베리펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 초옥길 149,경기도 가평군 청평면 상천리 510번지,,2,,,,,,37.78828327,127.4543096,2021-06-09
펜션대가족,민박,내국인+외국인,없음,경기도 가평군 설악면 묵안로194번길 5-162,경기도 가평군 설악면 엄소리 153번지,,1,,,,,,37.64136566,127.4964975,2021-06-09
코코,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로616번길 20-59,경기도 가평군 북면 백둔리 638-1번지,,2,,,,,,37.91205684,127.4455303,2021-06-09
청하펜션 주말농원,민박,내국인+외국인,없음,경기도 가평군 청평면 청군로 32,경기도 가평군 청평면 하천리 517-1번지,,6,,,,,,37.74848387,127.4251729,2021-06-09
별이빛나는호수,민박,내국인+외국인,없음,경기도 가평군 청평면 상지로 206,경기도 가평군 청평면 상천리 1501-4번지,,5,,,,,,37.76860406,127.472727,2021-06-09
무지개펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1943-47,경기도 가평군 설악면 회곡리 28-10번지,,4,,,,,,37.68279662,127.4701614,2021-06-09
베네스트,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 237,경기도 가평군 상면 행현리 513-4번지,,5,,,,,,37.75763814,127.3617821,2021-06-09
라비채,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 394,경기도 가평군 상면 행현리 658-2번지,,7,,,,,,37.74733405,127.3527545,2021-06-09
에코스파펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-420,경기도 가평군 가평읍 금대리 55-36번지,,9,,,,,,37.75805473,127.5405177,2021-06-09
쥬얼리 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-101,경기도 가평군 가평읍 두밀리 2-16번지,,6,,,,,,37.81471389,127.4658365,2021-06-09
리버마운틴,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 15-16,경기도 가평군 북면 제령리 291-3번지,,6,,,,,,37.89424674,127.5303333,2021-06-09
청평 하늘연 펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1943-55,경기도 가평군 설악면 회곡리 28-13번지,,1,,,,,,37.68239107,127.4703657,2021-06-09
