"year","month","day","dotw","sido","signgu","quantity","quantity_rt","cnt","cnt_rt"
2018,11,1,"thu","경기도","수원시장안구",25207300,2.82,15361,3.32
2018,11,1,"thu","경기도","수원시권선구",35383400,2.68,21290,3.14
2018,11,1,"thu","경기도","수원시팔달구",10877550,2.64,6972,3.14
2018,11,1,"thu","경기도","수원시영통구",41731400,2.68,26246,3.15
2018,11,1,"thu","경기도","성남시중원구",104800,2.02,87,2.82
2018,11,1,"thu","경기도","성남시분당구",382150,2.52,281,2.95
2018,11,1,"thu","경기도","의정부시",4486950,2.84,2607,3.17
2018,11,1,"thu","경기도","안양시",3387450,2.65,2018,2.96
2018,11,1,"thu","경기도","부천시",12017100,2.69,7315,3.15
2018,11,1,"thu","경기도","평택시",6770700,2.52,3718,3.06
2018,11,1,"thu","경기도","동두천시",6439150,2.76,3593,3.12
2018,11,1,"thu","경기도","고양시",380900,2.9,363,3.78
2018,11,1,"thu","경기도","구리시",19899500,2.31,6350,3.07
2018,11,1,"thu","경기도","남양주시",11868500,2.94,6634,3.37
2018,11,1,"thu","경기도","오산시",23086850,2.67,12768,3.17
2018,11,1,"thu","경기도","시흥시",1185250,2.45,713,2.96
2018,11,1,"thu","경기도","군포시",4960650,2.49,3167,2.98
2018,11,1,"thu","경기도","의왕시",17140250,2.05,3546,2.97
2018,11,1,"thu","경기도","하남시",3035500,3.43,60,3.43
2018,11,1,"thu","경기도","용인시",98346150,2.72,58828,3.15
2018,11,1,"thu","경기도","파주시",25019400,2.8,14286,3.23
2018,11,1,"thu","경기도","이천시",13532450,2.62,6311,3.08
2018,11,1,"thu","경기도","화성시",73981500,2.63,39645,3.07
2018,11,1,"thu","경기도","광주시",79968,2.94,41,3.23
2018,11,1,"thu","경기도","양주시",15586950,2.76,9110,3.2
2018,11,1,"thu","경기도","포천시",6542400,2.73,3316,2.98
2018,11,1,"thu","경기도","여주시",4347900,2.62,2000,3.03
2018,11,2,"fri","경기도","수원시장안구",22891300,2.56,14070,3.04
2018,11,2,"fri","경기도","수원시권선구",34958850,2.65,21224,3.13
2018,11,2,"fri","경기도","수원시팔달구",11207350,2.72,6943,3.13
2018,11,2,"fri","경기도","수원시영통구",40608500,2.61,25523,3.06
2018,11,2,"fri","경기도","성남시중원구",131450,2.54,103,3.34
2018,11,2,"fri","경기도","성남시분당구",457000,3.02,308,3.23
2018,11,2,"fri","경기도","의정부시",4138550,2.62,2438,2.96
2018,11,2,"fri","경기도","안양시",3496250,2.73,2091,3.07
2018,11,2,"fri","경기도","부천시",12567250,2.82,7590,3.27
2018,11,2,"fri","경기도","평택시",7257350,2.7,3904,3.21
2018,11,2,"fri","경기도","동두천시",6611450,2.84,3763,3.27
2018,11,2,"fri","경기도","고양시",299500,2.28,270,2.81
2018,11,2,"fri","경기도","구리시",28010700,3.26,6722,3.25
2018,11,2,"fri","경기도","남양주시",11615600,2.88,6369,3.23
2018,11,2,"fri","경기도","오산시",23586600,2.73,12953,3.21
2018,11,2,"fri","경기도","시흥시",1275150,2.63,767,3.18
2018,11,2,"fri","경기도","군포시",5020050,2.52,3263,3.07
2018,11,2,"fri","경기도","의왕시",28289550,3.38,3935,3.3
2018,11,2,"fri","경기도","하남시",3414000,3.86,69,3.94
2018,11,2,"fri","경기도","용인시",97309450,2.69,57655,3.09
2018,11,2,"fri","경기도","파주시",25373500,2.84,14397,3.25
2018,11,2,"fri","경기도","이천시",13651150,2.65,6264,3.05
2018,11,2,"fri","경기도","화성시",75690490,2.69,39994,3.1
2018,11,2,"fri","경기도","광주시",50000,1.84,27,2.13
2018,11,2,"fri","경기도","양주시",15960200,2.83,9296,3.26
2018,11,2,"fri","경기도","포천시",7442200,3.1,3759,3.37
