"year","month","sido","signgu","quantity_ton"
2017,7,"경기도","수원시장안구",925873
2017,7,"경기도","수원시권선구",1274998
2017,7,"경기도","수원시팔달구",450294
2017,7,"경기도","수원시영통구",1653160
2017,7,"경기도","성남시중원구",5785
2017,7,"경기도","성남시분당구",16862
2017,7,"경기도","의정부시",74288
2017,7,"경기도","안양시",47173
2017,7,"경기도","부천시",194834
2017,7,"경기도","평택시",272712
2017,7,"경기도","동두천시",271811
2017,7,"경기도","고양시",22096
2017,7,"경기도","구리시",794581
2017,7,"경기도","남양주시",222583
2017,7,"경기도","오산시",880891
2017,7,"경기도","군포시",215987
2017,7,"경기도","의왕시",760770
2017,7,"경기도","용인시",3768402
2017,7,"경기도","파주시",1009860
2017,7,"경기도","이천시",554793
2017,7,"경기도","화성시",2673450
2017,7,"경기도","양주시",468364
2017,7,"경기도","포천시",266147
2017,7,"경기도","여주시",174016
2017,8,"경기도","수원시장안구",826858
2017,8,"경기도","수원시권선구",1140826
2017,8,"경기도","수원시팔달구",405005
2017,8,"경기도","수원시영통구",1479832
2017,8,"경기도","성남시중원구",5204
2017,8,"경기도","성남시분당구",15462
2017,8,"경기도","의정부시",71263
2017,8,"경기도","안양시",42789
2017,8,"경기도","부천시",174987
2017,8,"경기도","평택시",250712
2017,8,"경기도","동두천시",241770
2017,8,"경기도","고양시",20328
2017,8,"경기도","구리시",732531
2017,8,"경기도","남양주시",204421
2017,8,"경기도","오산시",790199
2017,8,"경기도","군포시",192024
2017,8,"경기도","의왕시",701512
2017,8,"경기도","용인시",3346460
2017,8,"경기도","파주시",892940
2017,8,"경기도","이천시",506021
2017,8,"경기도","화성시",2395371
2017,8,"경기도","양주시",456990
2017,8,"경기도","포천시",239945
2017,8,"경기도","여주시",154858
2017,9,"경기도","수원시장안구",752332
2017,9,"경기도","수원시권선구",1042210
2017,9,"경기도","수원시팔달구",369283
2017,9,"경기도","수원시영통구",1343538
2017,9,"경기도","성남시중원구",4637
2017,9,"경기도","성남시분당구",13820
2017,9,"경기도","의정부시",76607
2017,9,"경기도","안양시",39730
2017,9,"경기도","부천시",168343
2017,9,"경기도","평택시",228153
2017,9,"경기도","동두천시",213938
2017,9,"경기도","고양시",18511
2017,9,"경기도","구리시",663171
2017,9,"경기도","남양주시",188329
2017,9,"경기도","오산시",717393
2017,9,"경기도","군포시",173912
2017,9,"경기도","의왕시",636233
2017,9,"경기도","용인시",3046089
2017,9,"경기도","파주시",797634
2017,9,"경기도","이천시",450130
2017,9,"경기도","화성시",2181968
2017,9,"경기도","광주시",1197
2017,9,"경기도","양주시",416068
2017,9,"경기도","포천시",211858
2017,9,"경기도","여주시",137724
2017,10,"경기도","수원시장안구",847870
2017,10,"경기도","수원시권선구",1182667
2017,10,"경기도","수원시팔달구",413292
2017,10,"경기도","수원시영통구",1490323
2017,10,"경기도","성남시중원구",5300
2017,10,"경기도","성남시분당구",14508
2017,10,"경기도","의정부시",94079
2017,10,"경기도","안양시",44974
2017,10,"경기도","부천시",215933
2017,10,"경기도","평택시",259100
2017,10,"경기도","동두천시",248637
2017,10,"경기도","고양시",18918
2017,10,"경기도","구리시",754360
2017,10,"경기도","남양주시",218205
2017,10,"경기도","오산시",819150
2017,10,"경기도","군포시",194067
2017,10,"경기도","의왕시",712649
2017,10,"경기도","용인시",3396107
2017,10,"경기도","파주시",906041
2017,10,"경기도","이천시",501079
2017,10,"경기도","화성시",2463044
2017,10,"경기도","광주시",391632
2017,10,"경기도","양주시",493903
2017,10,"경기도","포천시",239127
2017,10,"경기도","여주시",152656
2017,11,"경기도","수원시장안구",892296
2017,11,"경기도","수원시권선구",1225375
2017,11,"경기도","수원시팔달구",428002
2017,11,"경기도","수원시영통구",1567318
2017,11,"경기도","성남시중원구",5510
2017,11,"경기도","성남시분당구",15536
2017,11,"경기도","의정부시",100966
2017,11,"경기도","안양시",45972
2017,11,"경기도","부천시",238767
2017,11,"경기도","평택시",271237
2017,11,"경기도","동두천시",243638
2017,11,"경기도","고양시",20714
2017,11,"경기도","구리시",821310
2017,11,"경기도","남양주시",225786
2017,11,"경기도","오산시",850449
2017,11,"경기도","군포시",194944
2017,11,"경기도","의왕시",747228
2017,11,"경기도","용인시",3489051
