"signgu","waste_day_2019","waste_day_2020","rate"
"가평군",0,0,NA
"고양시",28.5,25.8939726027397,-9.14395577986062
"과천시",5.2,2.15260273972603,-58.6037934668072
"광명시",7.4,8.49315068493151,14.7723065531285
"광주시",6.1,13.4701369863014,120.821917808219
"구리시",6.5,12.7457534246575,96.0885142255005
"군포시",11,10.3643835616438,-5.77833125778331
"김포시",13.7,9.34246575342466,-31.8068193180682
"남양주시",1.2,5.6641095890411,372.009132420091
"동두천시",4.5,2.21342465753425,-50.8127853881279
"부천시",23.6,25.7227397260274,8.99465985604828
"성남시",49.7,20.0290410958904,-59.7001185193352
"소계",393.5,390.48602739726,-0.765939670327743
"수원시",63.6,73.8630136986301,16.1368139915568
"시흥시",3.9,11.912602739726,205.451352300667
"안산시",21.8,24.1983561643836,11.001633781576
"안성시",3.8,3.86027397260274,1.58615717375631
"안양시",15.2,26.5068493150685,74.3871665465033
"양주시",7.3,12.6512328767123,73.3045599549634
"양평군",5.5,2.07808219178082,-62.2166874221669
"여주시",2.4,2.43287671232877,1.36986301369864
"연천군",7.2,1.08657534246575,-84.9086757990868
"오산시",0,0,NA
"용인시",27.4,30.0032876712329,9.50104989501047
"의왕시",2.9,3.46,19.3103448275862
"의정부시",15.4,9.30054794520548,-39.6068315246398
"이천시",5,4.49041095890411,-10.1917808219178
"파주시",11.4,7.11616438356164,-37.577505407354
"평택시",10.2,9.1972602739726,-9.83078162771957
"포천시",8.2,9.30301369863014,13.4513865686602
"하남시",10.3,7.33917808219178,-28.7458438622157
"화성시",14.6,15.5945205479452,6.81178457496716
