행정구역,총가구수,총인구수,주요시설수,접객시설수,아파트 단위면적당 기준시가_원단위,업소수,업소당가구수,업소당시설물수,상권일일유동인구
전체,4925290,12583094,41624,58249,6292004,196936,25,0.51,2370472
수원시,467635,1189795,4026,5435,6257551,16677,28,0.57,178222
성남시,392992,973188,3894,4772,9470001,15797,25,0.55,163221
의정부시,173546,434769,1611,2052,5396266,7395,23,0.5,53746
안양시,223425,595542,2104,2847,7566859,8729,26,0.57,85766
부천시,328513,848593,2590,3332,6014841,8831,37,0.67,85259
광명시,128034,343480,784,952,7252676,3022,42,0.57,49202
평택시,192130,465544,1667,2584,4637380,9417,20,0.45,135468
동두천시,42268,98101,423,588,3090704,1996,21,0.51,8934
안산시,282071,695793,2393,3152,5643152,9945,28,0.56,91538
고양시,395446,1029854,3338,4595,6906939,16415,24,0.48,157413
과천시,24663,67677,261,176,16751930,704,35,0.62,18561
구리시,71653,186325,652,797,7564479,3133,23,0.46,36684
남양주시,249597,660625,1949,2189,5525693,8763,28,0.47,22360
오산시,81953,208331,611,929,5501888,3389,24,0.45,33629
시흥시,154743,388025,1132,1822,5475461,5821,27,0.51,97502
군포시,105761,284203,900,1076,7474180,3392,31,0.58,43129
의왕시,58995,158281,518,436,7752878,1940,30,0.49,33814
하남시,71899,179106,600,715,10230287,2946,24,0.45,47725
용인시,356563,980268,2663,3623,6792720,12535,28,0.5,195732
파주시,173256,426638,1347,2175,5794159,7809,22,0.45,86955
이천시,82759,208480,857,1396,3830721,5386,15,0.42,68298
안성시,75095,181204,736,1095,4049911,4189,18,0.44,51670
김포시,135506,354575,1100,1632,5655028,5948,23,0.46,83668
화성시,235683,619539,1795,2993,5640059,10618,22,0.45,200916
광주시,126112,316529,865,1618,5451410,5133,25,0.48,70373
양주시,80188,205377,691,1002,3990192,3888,21,0.44,44547
포천시,67935,154672,573,1267,3256692,4560,15,0.4,39498
연천군,21500,45828,259,324,2523048,1161,19,0.5,9373
가평군,28833,62455,297,1070,3444891,1957,15,0.7,18950
양평군,49191,109460,487,936,4361203,2694,18,0.53,31103
여주시,47345,110833,501,669,3516130,2746,17,0.43,26786
